serve,stroker,from,to,balance,hand,index
,Viktor Axelsen,back-right,middle-left,offensive,forehand,3
1,Lin Dan,front-right,front-center,even,backhand,1
,Viktor Axelsen,front-center,front-left,even,backhand,2
,Lin Dan,front-left,back-right,defensive,forehand,3
,Viktor Axelsen,back-right,middle-left,offensive,forehand,4
,Lin Dan,middle-left,front-right,defensive,forehand,5
,Viktor Axelsen,front-right,front-left,offensive,forehand,6
,Lin Dan,front-left,back-right,even,forehand,7
,Viktor Axelsen,back-right,back-left,defensive,forehand,8
,Lin Dan,back-left,middle-center,offensive,forehand,9
,Viktor Axelsen,middle-center,middle-center,defensive,backhand,10
,Lin Dan,middle-center,front-center,offensive,forehand,11
,Viktor Axelsen,front-center,back-right,defensive,backhand,12
,Lin Dan,back-right,middle-left,offensive,forehand,13
,Viktor Axelsen,middle-left,front-right,defensive,backhand,14
,Lin Dan,front-right,front-left,offensive,backhand,15
,Viktor Axelsen,front-left,back-left,defensive,backhand,16
,Lin Dan,back-left,front-left,even,forehand,17
,Viktor Axelsen,front-left,front-right,even,backhand,18
,Lin Dan,front-right,back-right,even,backhand,19
,Viktor Axelsen,back-right,back-left,defensive,forehand,20
,Lin Dan,back-left,middle-left,offensive,forehand,21
,Viktor Axelsen,middle-left,front-right,defensive,backhand,22
,Lin Dan,front-right,front-right,offensive,backhand,23
,Viktor Axelsen,front-right,back-right,defensive,forehand,24
,Lin Dan,back-right,front-left,even,forehand,25
,Viktor Axelsen,front-left,back-right,even,backhand,26
,Lin Dan,back-right,middle-center,even,forehand,27
,Viktor Axelsen,middle-center,front-left,even,forehand,28
,Lin Dan,front-left,back-right,even,forehand,29
,Viktor Axelsen,back-right,back-left,even,forehand,30
,Lin Dan,back-left,back-right,even,forehand,31
,Viktor Axelsen,back-right,back-left,even,forehand,32
,Lin Dan,back-left,back-right,even,forehand,33
,Viktor Axelsen,back-right,front-right,even,forehand,34
,Lin Dan,front-right,front-left,defensive,backhand,35
,Viktor Axelsen,front-left,back-right,even,backhand,36
,Lin Dan,back-right,middle-right,offensive,backhand,37
,Viktor Axelsen,middle-right,middle-center,defensive,forehand,38
,Lin Dan,middle-center,front-left,offensive,forehand,39
,Viktor Axelsen,front-left,front-center,defensive,backhand,40
,Lin Dan,front-center,middle-center,offensive,forehand,41
,Viktor Axelsen,middle-center,middle-center,defensive,backhand,42
,Lin Dan,middle-center,middle-center,offensive,forehand,43
