serve,stroker,from,to,balance,hand,index
,Viktor Axelsen,front-right,front-right,offensive,forehand,23
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,front-right,even,forehand,2
,Viktor Axelsen,front-right,front-left,even,forehand,3
,Lin Dan,front-left,back-right,even,forehand,4
,Viktor Axelsen,back-right,back-right,even,forehand,5
,Lin Dan,back-right,front-right,even,forehand,6
,Viktor Axelsen,front-right,back-left,even,forehand,7
,Lin Dan,back-left,front-right,defensive,forehand,8
1,Viktor Axelsen,front-right,front-center,even,backhand,1
,Lin Dan,front-center,back-right,even,backhand,2
,Viktor Axelsen,back-right,front-left,defensive,forehand,3
,Lin Dan,front-left,back-left,offensive,forehand,4
,Viktor Axelsen,back-left,back-right,defensive,forehand,5
,Lin Dan,back-right,back-left,even,forehand,6
,Viktor Axelsen,back-left,middle-right,even,forehand,7
,Lin Dan,middle-right,front-left,even,backhand,8
,Viktor Axelsen,front-left,front-right,offensive,backhand,9
,Lin Dan,front-right,back-right,defensive,backhand,10
,Viktor Axelsen,back-right,middle-left,even,forehand,11
,Lin Dan,middle-left,front-center,even,forehand,12
,Viktor Axelsen,front-center,back-left,even,forehand,13
,Lin Dan,back-left,back-right,defensive,forehand,14
,Viktor Axelsen,back-right,back-left,defensive,forehand,15
1,Lin Dan,front-right,back-right,even,backhand,1
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-right,even,forehand,2
,Lin Dan,back-right,middle-left,even,forehand,3
,Viktor Axelsen,middle-left,front-left,even,backhand,4
,Lin Dan,front-left,back-left,defensive,forehand,5
,Viktor Axelsen,back-left,middle-right,offensive,forehand,6
,Lin Dan,middle-right,front-center,even,backhand,7
,Viktor Axelsen,front-center,back-right,offensive,backhand,8
,Lin Dan,back-right,front-right,defensive,forehand,9
,Viktor Axelsen,front-right,front-center,even,forehand,10
,Lin Dan,front-center,back-right,even,forehand,11
,Viktor Axelsen,back-right,middle-left,defensive,forehand,12
,Lin Dan,middle-left,front-right,even,forehand,13
,Viktor Axelsen,front-right,front-left,even,forehand,14
,Lin Dan,front-left,front-right,even,forehand,15
,Viktor Axelsen,front-right,back-left,even,forehand,16
,Lin Dan,back-left,front-right,defensive,forehand,17
,Viktor Axelsen,front-right,back-right,offensive,forehand,18
,Lin Dan,back-right,front-right,defensive,forehand,19
,Viktor Axelsen,front-right,back-right,offensive,forehand,20
,Lin Dan,back-right,front-right,defensive,forehand,21
,Viktor Axelsen,front-right,front-right,offensive,forehand,22
,Lin Dan,front-right,back-right,offensive,backhand,23
,Viktor Axelsen,back-right,back-right,defensive,forehand,24
,Lin Dan,back-right,middle-right,even,forehand,25
,Viktor Axelsen,middle-right,front-left,defensive,forehand,26
,Lin Dan,front-left,back-right,even,forehand,27
,Viktor Axelsen,back-right,front-right,defensive,forehand,28
1,Lin Dan,front-right,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-left,defensive,forehand,2
,Lin Dan,back-left,front-center,defensive,forehand,3
,Viktor Axelsen,front-center,front-right,offensive,forehand,4
,Lin Dan,front-right,front-center,even,backhand,5
,Viktor Axelsen,front-center,front-center,offensive,backhand,6
,Lin Dan,front-center,back-right,defensive,backhand,7
,Viktor Axelsen,back-right,middle-center,offensive,forehand,8
,Lin Dan,middle-center,front-center,defensive,backhand,9
,Viktor Axelsen,front-center,back-left,even,backhand,10
,Lin Dan,back-left,middle-right,offensive,forehand,11
,Viktor Axelsen,middle-right,front-left,even,forehand,12
,Lin Dan,front-left,front-right,even,forehand,13
,Viktor Axelsen,front-right,front-left,even,forehand,14
,Lin Dan,front-left,back-right,offensive,forehand,15
1,Viktor Axelsen,front-left,back-right,even,backhand,1
,Lin Dan,back-center,middle-center,even,forehand,2
,Viktor Axelsen,middle-center,front-right,even,forehand,3
,Lin Dan,front-right,front-center,even,backhand,4
,Viktor Axelsen,front-center,back-right,even,backhand,5
,Lin Dan,back-right,middle-left,even,forehand,6
,Viktor Axelsen,middle-left,front-right,defensive,backhand,7
,Lin Dan,front-right,back-right,offensive,backhand,8
,Viktor Axelsen,back-right,middle-center,defensive,forehand,9
,Lin Dan,middle-center,front-left,offensive,forehand,10
,Viktor Axelsen,front-left,front-left,even,backhand,11
,Lin Dan,front-left,back-left,defensive,forehand,12
,Viktor Axelsen,back-left,middle-right,offensive,forehand,13
,Lin Dan,middle-right,front-left,defensive,backhand,14
,Viktor Axelsen,front-left,back-left,offensive,backhand,15
,Lin Dan,back-left,back-right,defensive,forehand,16
,Viktor Axelsen,back-right,back-right,offensive,forehand,17
,Lin Dan,back-right,back-left,defensive,forehand,18
,Viktor Axelsen,back-left,middle-left,offensive,forehand,19
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-left,even,backhand,2
,Lin Dan,back-left,back-right,even,forehand,3
,Viktor Axelsen,back-right,front-center,defensive,forehand,4
,Lin Dan,front-center,back-left,offensive,forehand,5
,Viktor Axelsen,back-left,middle-right,even,forehand,6
1,Viktor Axelsen,front-right,front-center,even,backhand,1
,Lin Dan,front-center,middle-left,even,backhand,2
,Viktor Axelsen,middle-left,middle-center,even,backhand,3
,Lin Dan,middle-center,front-center,even,backhand,4
,Viktor Axelsen,front-center,middle-center,offensive,backhand,5
,Lin Dan,middle-center,front-left,defensive,forehand,6
,Viktor Axelsen,front-left,front-right,offensive,backhand,7
1,Lin Dan,front-right,front-right,even,backhand,1
