serve,stroker,from,to,balance,hand,index
,Wang Shixian,back-right,front-right,offensive,forehand,4
,Akane Yamaguchi,front-right,back-left,even,forehand,5
,Wang Shixian,back-left,back-right,defensive,forehand,6
,Akane Yamaguchi,back-right,middle-left,offensive,forehand,7
1,Akane Yamaguchi,front-right,back-center,even,forehand,1
,Wang Shixian,back-right,back-right,offensive,forehand,2
,Akane Yamaguchi,back-right,middle-left,defensive,forehand,3
,Wang Shixian,middle-left,front-center,even,backhand,4
,Akane Yamaguchi,front-center,back-left,offensive,backhand,5
,Wang Shixian,back-left,back-center,defensive,forehand,6
,Akane Yamaguchi,back-center,middle-left,offensive,forehand,7
,Wang Shixian,middle-left,front-right,even,backhand,8
,Akane Yamaguchi,front-right,front-center,even,forehand,9
,Wang Shixian,front-center,back-left,offensive,backhand,10
1,Wang Shixian,front-left,back-center,even,forehand,1
,Akane Yamaguchi,back-left,middle-center,offensive,forehand,2
,Wang Shixian,middle-center,front-center,offensive,forehand,3
,Akane Yamaguchi,front-center,back-left,offensive,backhand,4
,Wang Shixian,back-left,back-right,offensive,forehand,5
,Akane Yamaguchi,back-right,middle-left,defensive,forehand,6
,Wang Shixian,middle-left,front-center,defensive,backhand,7
,Akane Yamaguchi,front-center,back-right,offensive,backhand,8
,Wang Shixian,back-right,back-left,defensive,forehand,9
,Akane Yamaguchi,back-left,front-right,offensive,forehand,10
1,Akane Yamaguchi,front-left,back-center,even,forehand,1
,Wang Shixian,back-left,front-left,offensive,forehand,2
,Akane Yamaguchi,front-left,front-center,defensive,backhand,3
,Wang Shixian,front-center,front-left,offensive,backhand,4
,Akane Yamaguchi,front-left,back-left,offensive,backhand,5
,Wang Shixian,back-left,back-right,defensive,forehand,6
,Akane Yamaguchi,back-right,front-left,defensive,forehand,7
,Wang Shixian,front-left,middle-center,offensive,backhand,8
,Akane Yamaguchi,middle-center,back-left,even,backhand,9
,Wang Shixian,back-left,back-left,defensive,forehand,10
,Akane Yamaguchi,back-left,back-right,defensive,forehand,11
,Wang Shixian,back-right,middle-left,offensive,forehand,12
,Akane Yamaguchi,middle-left,front-right,even,backhand,13
,Wang Shixian,front-right,front-left,offensive,backhand,14
,Akane Yamaguchi,front-left,back-right,offensive,backhand,15
,Wang Shixian,back-right,back-right,offensive,forehand,16
,Akane Yamaguchi,back-right,middle-left,offensive,forehand,17
,Wang Shixian,middle-left,front-center,even,backhand,18
,Akane Yamaguchi,front-center,front-left,offensive,backhand,19
,Wang Shixian,front-left,back-left,defensive,backhand,20
,Akane Yamaguchi,back-left,front-right,offensive,forehand,21
1,Akane Yamaguchi,front-right,back-center,even,forehand,1
,Wang Shixian,back-left,middle-center,offensive,forehand,2
,Akane Yamaguchi,middle-center,front-center,defensive,backhand,3
,Wang Shixian,front-center,middle-left,offensive,forehand,4
,Akane Yamaguchi,middle-left,front-center,defensive,backhand,5
,Wang Shixian,front-center,front-right,offensive,forehand,6
,Akane Yamaguchi,front-right,back-left,offensive,forehand,7
,Wang Shixian,back-left,front-center,defensive,backhand,8
1,Akane Yamaguchi,front-left,back-center,even,forehand,1
,Wang Shixian,back-left,back-right,offensive,forehand,2
,Akane Yamaguchi,back-right,front-left,defensive,forehand,3
,Wang Shixian,front-left,back-left,offensive,backhand,4
,Akane Yamaguchi,back-left,back-right,defensive,forehand,5
,Wang Shixian,back-right,front-right,offensive,forehand,6
,Akane Yamaguchi,front-right,front-left,defensive,forehand,7
,Wang Shixian,front-left,back-right,offensive,backhand,8
,Akane Yamaguchi,back-right,back-left,defensive,forehand,9
,Wang Shixian,back-left,back-right,offensive,forehand,10
,Akane Yamaguchi,back-right,middle-left,offensive,forehand,11
,Wang Shixian,middle-left,front-right,even,backhand,12
,Akane Yamaguchi,front-right,back-left,offensive,forehand,13
,Wang Shixian,back-left,back-left,defensive,backhand,14
,Akane Yamaguchi,back-left,middle-right,offensive,forehand,15
,Wang Shixian,middle-right,front-left,defensive,forehand,16
,Akane Yamaguchi,front-left,back-left,offensive,backhand,17
,Wang Shixian,back-left,middle-right,defensive,backhand,18
,Akane Yamaguchi,middle-right,back-left,offensive,forehand,19
,Wang Shixian,back-left,back-center,defensive,forehand,20
,Akane Yamaguchi,back-center,middle-left,offensive,forehand,21
,Wang Shixian,middle-left,back-right,defensive,forehand,22
,Akane Yamaguchi,back-right,front-center,defensive,forehand,23
,Wang Shixian,front-center,back-left,offensive,backhand,24
,Akane Yamaguchi,back-left,back-right,defensive,forehand,25
1,Wang Shixian,front-right,front-center,even,forehand,1
,Akane Yamaguchi,front-right,back-left,offensive,forehand,2
,Wang Shixian,back-left,front-left,defensive,backhand,3
,Akane Yamaguchi,front-left,front-right,defensive,forehand,4
,Wang Shixian,front-right,back-right,offensive,forehand,5
,Akane Yamaguchi,back-right,front-left,defensive,forehand,6
,Wang Shixian,front-left,back-right,offensive,backhand,7
,Akane Yamaguchi,back-right,back-left,defensive,forehand,8
,Wang Shixian,back-left,back-right,offensive,forehand,9
,Akane Yamaguchi,back-right,front-left,defensive,forehand,10
,Wang Shixian,front-left,back-right,offensive,backhand,11
,Akane Yamaguchi,back-right,front-left,defensive,forehand,12
,Wang Shixian,front-left,front-right,offensive,backhand,13
,Akane Yamaguchi,front-right,front-left,defensive,forehand,14
,Wang Shixian,front-left,middle-left,offensive,backhand,15
1,Wang Shixian,front-left,front-center,even,forehand,1
,Akane Yamaguchi,front-center,back-left,offensive,backhand,2
,Wang Shixian,back-left,back-right,defensive,backhand,3
,Akane Yamaguchi,back-right,front-right,offensive,forehand,4
,Wang Shixian,front-right,back-right,even,forehand,5
,Akane Yamaguchi,back-right,middle-left,offensive,forehand,6
,Wang Shixian,middle-left,back-left,offensive,backhand,7
,Akane Yamaguchi,back-left,front-right,defensive,forehand,8
1,Akane Yamaguchi,front-right,back-center,even,forehand,1
,Wang Shixian,back-right,front-right,offensive,forehand,2
,Akane Yamaguchi,front-right,back-left,offensive,forehand,3
,Wang Shixian,back-left,front-left,defensive,forehand,4
,Akane Yamaguchi,front-left,back-center,defensive,backhand,5
,Wang Shixian,back-center,middle-center,offensive,forehand,6
,Akane Yamaguchi,middle-center,front-right,defensive,backhand,7
1,Wang Shixian,front-right,front-center,even,forehand,1
,Akane Yamaguchi,front-center,back-right,offensive,forehand,2
,Wang Shixian,back-right,middle-left,defensive,forehand,3
,Akane Yamaguchi,middle-left,front-center,defensive,backhand,4
,Wang Shixian,front-center,middle-center,offensive,forehand,5
,Akane Yamaguchi,middle-center,middle-left,offensive,forehand,6
,Wang Shixian,middle-left,back-left,offensive,backhand,7
,Akane Yamaguchi,back-left,middle-center,offensive,forehand,8
1,Wang Shixian,front-left,front-center,even,forehand,1
,Akane Yamaguchi,front-center,front-left,offensive,backhand,2
,Wang Shixian,front-left,back-left,defensive,backhand,3
,Akane Yamaguchi,back-left,back-right,even,forehand,4
,Wang Shixian,back-right,front-right,defensive,forehand,5
,Akane Yamaguchi,front-right,back-right,offensive,forehand,6
,Wang Shixian,front-left,back-center,defensive,backhand,7
,Akane Yamaguchi,back-center,middle-left,offensive,forehand,8
,Wang Shixian,middle-left,front-center,defensive,backhand,9
,Akane Yamaguchi,front-center,back-left,offensive,forehand,10
,Wang Shixian,back-left,back-right,defensive,backhand,11
,Akane Yamaguchi,back-right,back-left,defensive,forehand,12
,Wang Shixian,back-left,back-center,defensive,forehand,13
,Akane Yamaguchi,back-right,middle-right,offensive,forehand,14
,Wang Shixian,middle-right,middle-left,even,forehand,15
,Akane Yamaguchi,middle-left,front-right,even,backhand,16
,Wang Shixian,front-right,front-center,even,forehand,17
,Akane Yamaguchi,front-center,back-left,offensive,backhand,18
,Wang Shixian,back-left,front-left,defensive,forehand,19
,Akane Yamaguchi,back-right,front-right,offensive,forehand,20
1,Akane Yamaguchi,front-left,back-center,even,forehand,1
,Wang Shixian,back-left,back-right,offensive,forehand,2
,Akane Yamaguchi,back-right,front-left,defensive,forehand,3
,Wang Shixian,front-left,back-left,even,backhand,4
,Akane Yamaguchi,back-left,middle-right,defensive,forehand,5
,Wang Shixian,middle-right,front-center,even,forehand,6
,Akane Yamaguchi,front-center,back-left,even,forehand,7
,Wang Shixian,back-left,back-right,even,forehand,8
,Akane Yamaguchi,back-right,middle-left,defensive,forehand,9
,Wang Shixian,middle-left,front-left,offensive,backhand,10
,Akane Yamaguchi,front-left,back-right,offensive,forehand,11
,Wang Shixian,back-right,back-left,defensive,forehand,12
,Akane Yamaguchi,back-left,front-left,offensive,forehand,13
1,Akane Yamaguchi,front-right,back-center,even,forehand,1
,Wang Shixian,back-right,front-left,offensive,forehand,2
,Akane Yamaguchi,front-left,back-left,defensive,forehand,3
,Wang Shixian,back-left,middle-right,offensive,forehand,4
,Akane Yamaguchi,middle-right,front-left,defensive,forehand,5
1,Wang Shixian,front-right,front-center,even,forehand,1
,Akane Yamaguchi,front-center,front-center,offensive,forehand,2
,Wang Shixian,front-center,front-center,even,forehand,3
,Akane Yamaguchi,front-center,back-right,offensive,forehand,4
,Wang Shixian,back-right,front-left,defensive,forehand,5
,Akane Yamaguchi,front-left,front-left,offensive,backhand,6
,Wang Shixian,front-left,back-left,even,backhand,7
,Akane Yamaguchi,back-left,middle-left,offensive,forehand,8
1,Akane Yamaguchi,front-left,back-center,even,forehand,1
,Wang Shixian,back-left,back-right,offensive,forehand,2
,Akane Yamaguchi,back-right,back-left,defensive,forehand,3
,Wang Shixian,back-left,front-right,defensive,forehand,4
,Akane Yamaguchi,back-right,middle-left,offensive,forehand,5
,Wang Shixian,middle-left,front-center,defensive,backhand,6
1,Akane Yamaguchi,front-right,back-center,even,forehand,1
,Wang Shixian,back-right,front-right,offensive,forehand,2
,Akane Yamaguchi,front-right,front-left,defensive,forehand,3
,Wang Shixian,front-left,back-center,even,backhand,4
,Akane Yamaguchi,back-center,front-left,offensive,forehand,5
,Wang Shixian,front-left,front-center,even,backhand,6
,Akane Yamaguchi,front-center,back-right,offensive,forehand,7
,Wang Shixian,back-right,middle-left,defensive,forehand,8
,Akane Yamaguchi,middle-left,front-left,offensive,forehand,9
,Wang Shixian,front-left,front-right,defensive,backhand,10
,Akane Yamaguchi,front-right,front-left,offensive,forehand,11
,Wang Shixian,front-left,middle-left,offensive,backhand,12
,Akane Yamaguchi,middle-left,back-left,offensive,backhand,13
1,Akane Yamaguchi,front-left,back-center,even,forehand,1
,Wang Shixian,back-left,front-left,offensive,forehand,2
1,Wang Shixian,front-left,back-center,even,forehand,1
